sector,P/E (median),P/E (mean),P/S (median),P/S (mean),FCF/share (median),FCF/share (mean)
Basic Materials,28.35151641336529,28.35151641336529,5.9786500370702,5.9786500370702,10.827598858366645,10.827598858366645
Communication Services,27.888524518917354,41.17662510877582,6.702961527898694,5.517644653415137,6.0857190137348995,12.315443626925545
Consumer Cyclical,31.7867053254258,50.25917300220596,3.924052056775383,5.135858368382521,6.260510746974624,45.89641691247569
Consumer Defensive,24.086809052391473,25.626733666747516,1.954862942754682,2.7704587410365784,3.0701146198672182,5.309655047344283
Energy,13.159684642435895,13.159684642435895,2.234914263463615,2.234914263463615,1.821412982857221,1.821412982857221
Financial Services,13.229530201342282,13.229530201342282,1.9133288065851137,1.9133288065851137,5.74896694214876,5.74896694214876
Healthcare,28.012303970363973,31.53576838929437,5.099732114818459,7.370099618328986,9.78213291576255,12.542341004574519
Industrials,29.42918066558576,40.97973745268343,6.112907500144849,6.797561904533342,4.8525359993177535,6.724439054947808
Real Estate,1427.6599999999999,1427.6599999999999,9.57050516440373,9.57050516440373,0.67563705644201,0.67563705644201
Technology,36.35531769803984,15.238979999088505,9.78685455683706,17.250745313920476,5.370790155939007,4.994956454283417
Utilities,25.691035990687126,27.074591047890188,3.242134204706023,3.210921474163309,-1.2297175162667526,-0.027546738661105408
